PID=27867
27867 27164   501 haewonkim Mon09PM  19:16.99 S+   /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python -m uvicorn app.main:app --host 127.0.0.1 --port 8000

COMMAND   PID      USER   FD   TYPE DEVICE SIZE/OFF                NODE NAME
Python  27867 haewonkim  txt    REG   1,14    94112            88126039 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/zlib.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    73920            88125992 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_multiprocessing.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    92384            88125989 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_lzma.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  4872000            88116690 /opt/homebrew/Cellar/openssl@3/3.6.2/lib/libcrypto.3.dylib
Python  27867 haewonkim  txt    REG   1,14    68640            88126019 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_uuid.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    89504            88125964 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_blake2.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   185472            88123457 /opt/homebrew/Cellar/xz/5.8.3/lib/liblzma.5.dylib
Python  27867 haewonkim  txt    REG   1,14    98320            88125982 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_hashlib.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   110160            72865361 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/processors.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   132320            72865367 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/immutabledict.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   280576            72864859 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/greenlet/_greenlet.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   295712            72865368 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/collections.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   115680            72865370 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/resultproxy.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   136008            72865362 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/sqlalchemy/cyextension/util.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    72128            88126034 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/termios.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    92224            88126021 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_zoneinfo.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    97248            72864170 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_sfc64.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   195056            88125980 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_decimal.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   189472            44596181 /opt/homebrew/Cellar/mpdecimal/4.0.1/lib/libmpdec.4.0.1.dylib
Python  27867 haewonkim  txt    REG   1,14    70464            72868586 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/pandas_parser.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    70040            72868594 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/pandas_datetime.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   166224            88126004 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_sqlite3.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14    81544            72868660 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pandas/_libs/tslibs/base.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   161568            88125974 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_ctypes.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   154848            72863356 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/linalg/_umath_linalg.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   133376            72864144 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_pcg64.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   189792            72864157 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/bit_generator.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   751904            88126035 /opt/homebrew/Cellar/python@3.13/3.13.13_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/unicodedata.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   279752            72864150 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_bounded_integers.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   132192            72864148 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_mt19937.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14   115664            72864149 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/numpy/random/_philox.cpython-313-darwin.so
Python  27867 haewonkim  txt    REG   1,14  4220048            72866080 /Users/haewonkim/home/development/sysgrid/backend/venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-darwin.so
